prefix	date	compname	medianame	devname	modelname	notes
000BBE	2003-02-07	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000BCD	2003-02-07	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
000BE6	2003-02-07	Datel Electronics	NULL	Videogame System	Datel Accessory	NULL
000BFD	2003-02-07	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000C29	2003-02-07	VMware, Inc.	Virtual	Virtual Computer	VMWare	NULL
000C30	2003-02-07	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000C41	2003-02-07	Cisco-Linksys	WiFi	Network Interface Card	NULL	NULL
000C81	2003-04-11	Schneider Electric (Australia)	NULL	SCADA Device	NULL	NULL
000C85	2003-04-11	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000CA9	2003-04-11	Ebtron Inc.	NULL	SCADA Device	NULL	NULL
000CCE	2003-04-11	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000CE5	2003-04-11	ARRIS Group, Inc.	WiFi	Network Interface Card	NULL	NULL
000CF1	2003-04-11	Intel Corporation	WiFi	Network Interface Card	NULL	NULL
000D0B	2003-06-01	Buffalo Inc.	WiFi	Network Interface Card	NULL	NULL
000D14	2003-06-01	Vtech Innovation LP dba Advanced American Telephones	WiFi	Network Interface Card	NULL	NULL
000D19	2003-06-01	ROBE Show lighting	NULL	SCADA Device	NULL	NULL
000D1E	2003-06-01	Control Techniques	NULL	SCADA Device	NULL	NULL
000D28	2003-06-01	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000D29	2003-06-01	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000D3A	2003-06-01	Microsoft Corp.	WiFi	Videogame System	NULL	NULL
000D54	2003-06-01	3Com Ltd	WiFi	Network Interface Card	NULL	NULL
000D5D	2003-06-01	Raritan Computer, Inc	NULL	KVM / Console	Raritan	NULL
000D65	2003-06-01	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000D72	2003-06-01	2Wire, Inc	WiFi	Network Interface Card	NULL	NULL
000D74	2004-02-12	Sand Network Systems, Inc.	NULL	SCADA Device	NULL	NULL
000D88	2004-02-12	D-Link Corporation	WiFi	Network Interface Card	NULL	NULL
000D93	2004-02-12	Apple	WiFi	Network Interface Card	NULL	NULL
000D97	2004-02-12	Tropos Networks, Inc.	WiFi	Network Interface Card	NULL	NULL
000D9D	2004-02-12	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
000DBD	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000DC8	2004-02-12	AirMagnet, Inc	NULL	Wireless NIC	NULL	NULL
000DED	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000E35	2004-02-12	Intel Corp	WiFi	Network Interface Card	NULL	NULL
000E38	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000E3B	2004-02-12	Hawking Technologies, Inc.	WiFi	Network Interface Card	NULL	NULL
000E58	2004-02-12	Sonos, Inc.	WiFi	Network Interface Card	NULL	NULL
000E61	2004-02-12	MICROTROL LIMITED	NULL	SCADA Device	NULL	NULL
000E6A	2004-02-12	3Com Ltd	WiFi	Network Interface Card	NULL	NULL
000E6B	2004-02-12	Janitza electronics GmbH	NULL	SCADA Device	NULL	NULL
000E75	2004-02-12	New York Air Brake Corp.	NULL	SCADA Device	NULL	NULL
000E7F	2004-02-12	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
000E83	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000E84	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000E9B	2004-02-12	Diffon Corporation	WiFi	Network Interface Card	NULL	NULL
000EA6	2004-02-12	ASUSTEK COMPUTER INC.	WiFi	Network Interface Card	NULL	NULL
000ED7	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000F23	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000F24	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000F34	2004-02-12	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000F3D	2004-02-12	D-Link Corporation	WiFi	Network Interface Card	NULL	NULL
000F4B	2004-02-12	Oracle Corporation	Virtual	Virtual Computer	Virtual Iron	NULL
000F52	2004-02-12	YORK Refrigeration, Marine & Controls	NULL	SCADA Device	NULL	NULL
000F66	2004-02-12	Cisco-Linksys	WiFi	Network Interface Card	NULL	NULL
000F7C	2004-02-12	ACTi Corporation	NULL	Camera	NULL	NULL
000F8F	2004-04-03	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000F90	2004-04-03	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000FB5	2004-04-03	NETGEAR Inc	WiFi	Network Interface Card	NULL	NULL
000FE7	2004-04-03	Lutron Electronics Co., Inc.	NULL	SCADA Device	NULL	NULL
000FEA	2004-04-03	Giga-Byte Technology Co.,LTD.	WiFi	Network Interface Card	NULL	NULL
000FEB	2004-04-03	Cylon Controls	NULL	SCADA Device	NULL	NULL
000FF7	2004-04-03	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000FF8	2004-04-03	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00108D	1998-04-22	Johnson Controls, Inc.	NULL	SCADA Device	NULL	NULL
001090	1998-04-22	CIMETRICS, INC.	NULL	SCADA Device	NULL	NULL
00109C	1998-04-22	M-SYSTEM CO., LTD.	NULL	SCADA Device	NULL	NULL
0010C3	1998-04-22	CSI-CONTROL SYSTEMS	NULL	SCADA Device	NULL	NULL
0010C6	1998-04-22	Universal Global Scientific Industrial Co., Ltd.	WiFi	Network Interface Card	NULL	NULL
0010E7	1998-04-22	BreezeCom	WiFi	Network Interface Card	NULL	NULL
001100	2004-04-03	Schneider Electric	NULL	SCADA Device	NULL	NULL
001109	2004-04-15	Micro-Star International	WiFi	Network Interface Card	NULL	NULL
00110A	2004-04-15	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
001114	2004-04-15	EverFocus Electronics Corp.	NULL	Camera	NULL	NULL
001120	2004-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001121	2004-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001124	2004-06-05	Apple	WiFi	Network Interface Card	NULL	NULL
00112F	2004-06-05	ASUSTek Computer Inc.	WiFi	Network Interface Card	NULL	NULL
001148	2004-06-05	Prolon Control Systems	NULL	SCADA Device	NULL	NULL
001150	2004-06-05	Belkin Corporation	WiFi	Network Interface Card	NULL	NULL
00115C	2004-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001188	2004-06-10	Enterasys	WiFi	Network Interface Card	NULL	NULL
