prefix	date	compname	medianame	devname	modelname	notes
005060	2000-09-08	TANDBERG TELECOM AS	NULL	Video Conferencing Device	NULL	NULL
0050A1	2000-09-08	CARLO GAVAZZI, INC.	NULL	SCADA Device	NULL	NULL
0050DA	2000-09-08	3COM CORPORATION	WiFi	Network Interface Card	NULL	NULL
0050DB	2000-09-08	CONTEMPORARY CONTROL	NULL	SCADA Device	NULL	NULL
0050F2	2000-09-08	MICROSOFT CORP.	WiFi	Videogame System	NULL	NULL
0050FC	2000-09-08	EDIMAX TECHNOLOGY CO., LTD.	WiFi	Network Interface Card	NULL	NULL
006001	1998-04-22	InnoSys, Inc.	WiFi	Network Interface Card	NULL	NULL
006017	1998-04-22	TOKIMEC INC.	NULL	SCADA Device	NULL	NULL
00601D	1998-04-22	LUCENT TECHNOLOGIES	WiFi	Network Interface Card	NULL	NULL
00602D	1998-04-22	ALERTON TECHNOLOGIES, INC.	NULL	SCADA Device	NULL	NULL
006041	1998-04-22	Yokogawa Electric Corporation	NULL	SCADA Device	NULL	NULL
00606D	1998-04-22	DIGITAL EQUIPMENT CORP.	WiFi	Network Interface Card	NULL	NULL
0060B3	1998-04-22	Z-COM, INC.	WiFi	Network Interface Card	NULL	NULL
008048	2000-09-08	COMPEX INCORPORATED	WiFi	Network Interface Card	NULL	NULL
00804F	2000-09-08	DAIKIN INDUSTRIES, LTD.	NULL	SCADA Device	NULL	NULL
008063	1998-04-22	Hirschmann Automation and Control GmbH	NULL	SCADA Device	NULL	NULL
008067	1998-04-22	SQUARE D COMPANY	NULL	SCADA Device	NULL	NULL
0080C6	2000-09-08	NATIONAL DATACOMM CORPORATION	WiFi	Network Interface Card	NULL	NULL
0080C8	2000-09-08	D-LINK SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0080F0	1998-04-22	Panasonic Communications Co., Ltd.	NULL	Camera	NULL	NULL
009009	1998-04-22	I Controls, Inc.	NULL	SCADA Device	NULL	NULL
00900E	1998-04-22	HANDLINK TECHNOLOGIES, INC.	WiFi	Network Interface Card	NULL	NULL
00900F	1998-04-22	KAWASAKI HEAVY INDUSTRIES, LTD	NULL	SCADA Device	NULL	NULL
00904B	2000-09-08	GemTek Technology Co., Ltd.	WiFi	Wireless Access Point	NULL	NULL
00904C	2000-09-08	EPIGRAM, INC.	WiFi	Network Interface Card	NULL	NULL
00907A	1998-04-22	Spectralink, Inc	NULL	Video Conferencing Device	NULL	NULL
009096	2000-09-08	ASKEY COMPUTER CORP.	WiFi	Network Interface Card	NULL	NULL
0090D1	2000-09-08	LEICHU ENTERPRISE CO., LTD.	WiFi	Network Interface Card	NULL	NULL
00A003	1998-04-22	Siemens Switzerland Ltd., I B T HVP	NULL	SCADA Device	NULL	NULL
00A004	1998-04-22	NETPOWER, INC.	WiFi	Network Interface Card	NULL	NULL
00A045	1998-04-22	PHOENIX CONTACT GMBH & CO.	NULL	SCADA Device	NULL	NULL
00A0C5	1998-04-22	ZyXEL Communications Corporation	WiFi	Network Interface Card	NULL	NULL
00A0F8	1998-04-22	Zebra Technologies Inc	WiFi	Network Interface Card	NULL	NULL
00B064	2000-09-08	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00C002	1998-04-22	SERCOMM CORPORATION	WiFi	Network Interface Card	NULL	NULL
00C016	1998-04-22	ELECTRONIC THEATRE CONTROLS	NULL	SCADA Device	NULL	NULL
00C049	2000-09-08	U.S. ROBOTICS, INC.	WiFi	Network Interface Card	NULL	NULL
00C07A	1998-04-22	PRIVA B.V.	NULL	SCADA Device	NULL	NULL
00C0A8	1998-04-22	GVC CORPORATION	WiFi	Wireless Access Point	NULL	NULL
00C0B7	1998-04-22	AMERICAN POWER CONVERSION CORP	NULL	Uninterruptible Power Supply	NULL	NULL
00C0E4	1998-04-22	SIEMENS BUILDING	NULL	SCADA Device	NULL	NULL
00D047	2000-09-08	XN TECHNOLOGIES	NULL	SCADA Device	NULL	NULL
00D059	2000-09-08	AMBIT MICROSYSTEMS CORP.	WiFi	Network Interface Card	NULL	NULL
00D06F	2000-09-08	KMC CONTROLS	NULL	SCADA Device	NULL	NULL
00D09D	2000-09-08	VERIS INDUSTRIES	NULL	SCADA Device	NULL	NULL
00D0D6	2000-09-08	AETHRA TELECOMUNICAZIONI	NULL	Video Conferencing Device	NULL	NULL
00D0DB	2000-09-08	MCQUAY INTERNATIONAL	NULL	SCADA Device	NULL	NULL
00D0E7	2000-09-08	VCON TELECOMMUNICATION LTD.	NULL	Video Conferencing Device	NULL	NULL
00E000	1998-04-22	Fujitsu Limited	WiFi	Network Interface Card	NULL	NULL
00E001	1998-04-22	STRAND LIGHTING LIMITED	NULL	SCADA Device	NULL	NULL
00E029	1998-04-22	STANDARD MICROSYSTEMS CORP.	WiFi	Network Interface Card	NULL	NULL
00E02A	1998-04-22	TANDBERG TELEVISION AS	NULL	Video Conferencing Device	NULL	NULL
00E042	1998-04-22	Pacom Systems Ltd.	NULL	SCADA Device	NULL	NULL
00E059	1998-04-22	CONTROLLED ENVIRONMENTS, LTD.	NULL	SCADA Device	NULL	NULL
00E063	1998-04-22	CABLETRON - YAGO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00E098	1998-04-22	AboCom Systems, Inc.	WiFi	Network Interface Card	NULL	NULL
00E099	1998-04-22	SAMSON AG	NULL	SCADA Device	NULL	NULL
00E0B8	1998-04-22	GATEWAY 2000	WiFi	Network Interface Card	NULL	NULL
00E0C9	2000-09-08	AutomatedLogic Corporation	NULL	SCADA Device	NULL	NULL
0180C2	2011-05-11	IEEE REGISTRATION AUTHORITY  - Please see OUI36/MA-S public listing for more information.	NULL	NULL	NULL	IEEE Standard Group Reserved\nSee: http://standards.ieee.org/develop/regauth/grpmac/public.html\n(For some reason, this particular OUI is not in the normal oui.txt listings provided from IEEE and had to be manually added)
042605	2010-12-22	GFR Gesellschaft für Regelungstechnik und Energieeinsparung mbH	NULL	SCADA Device	NULL	NULL
080027	2000-09-08	CADMUS COMPUTER SYSTEMS	Virtual	Virtual Computer	VirtualBox	NULL
080046	2000-09-08	Sony Corporation	WiFi	Network Interface Card	NULL	NULL
088F2C	2012-01-11	Hills Sound Vision & Lighting	NULL	SCADA Device	NULL	NULL
0C8411	2009-11-21	A.O. Smith Water Products	NULL	SCADA Device	NULL	NULL
0CD9C1	2012-06-12	Visteon Corporation	NULL	SCADA Device	NULL	NULL
20443A	2012-04-25	Schneider Electric Asia Pacific Ltd	NULL	SCADA Device	NULL	NULL
3018CF	2010-04-07	DEOS control systems GmbH	NULL	SCADA Device	NULL	NULL
3831AC	2011-01-14	WEG	NULL	SCADA Device	NULL	NULL
582EFE	2011-06-30	Lighting Science Group	NULL	SCADA Device	NULL	NULL
6CAD3F	2011-01-22	Hubbell Building Automation, Inc.	NULL	SCADA Device	NULL	NULL
7C6F06	2010-02-05	Caterpillar Trimble Control Technologies	NULL	SCADA Device	NULL	NULL
884B39	2009-12-23	Siemens AG, Healthcare Sector	NULL	SCADA Device	NULL	NULL
88ACC1	2010-05-28	Generiton Co., Ltd.	NULL	SCADA Device	NULL	NULL
942E17	2011-11-10	Schneider Electric Canada Inc	NULL	SCADA Device	NULL	NULL
94592D	2009-11-21	EKE Building Technology Systems Ltd	NULL	SCADA Device	NULL	NULL
9866EA	2011-03-05	Industrial Control Communications, Inc.	NULL	SCADA Device	NULL	NULL
D0699E	2012-03-03	LUMINEX Lighting Control Equipment	NULL	SCADA Device	NULL	NULL
DCA7D9	2011-02-08	Compressor Controls Corp	NULL	SCADA Device	NULL	NULL
E44F29	2010-10-13	MA Lighting Technology GmbH	NULL	SCADA Device	NULL	NULL
E86D6E	2011-11-30	Control & Display Systems Ltd t/a CDSRail	NULL	SCADA Device	NULL	NULL
EC5C69	2010-02-26	MITSUBISHI HEAVY INDUSTRIES MECHATRONICS SYSTEMS,LTD.	NULL	SCADA Device	NULL	NULL
ECEA03	2011-06-16	DARFON LIGHTING CORP	NULL	SCADA Device	NULL	NULL
F00248	2010-08-17	SmarteBuilding	NULL	SCADA Device	NULL	NULL
F82F5B	2011-08-25	eGauge Systems LLC	NULL	SCADA Device	NULL	NULL
